scope	mark	subset	n_reads	spearman_rho	mutual_info_bits
pooled	all	all_reads	600000	0.06825922876256564	0.06560954803529633
per_mark	h3k27ac	all_reads	200000	0.07989865086704091	0.055212038221934656
per_mark	h3k27me3	all_reads	200000	-0.007876945385693893	0.07405973293563588
per_mark	h3k4me3	all_reads	200000	0.14736065511658705	0.09424664045493816
pooled	all	read_len_gt_20000	86837	0.31918666650427974	0.125614202665639
per_mark	h3k27ac	read_len_gt_20000	29821	0.32862038728151044	0.14108907409955818
per_mark	h3k27me3	read_len_gt_20000	28547	0.16135930931965103	0.11275307905961907
per_mark	h3k4me3	read_len_gt_20000	28469	0.5404543981041073	0.2720218513535307
