sample	n	mean	std	q10	median	q90
h3k27ac	15000	33.72126770019531	25.518369674682617	2.141571474075323	29.83199977874756	71.27275161743167
h3k27me3	15000	26.146209716796875	24.32773780822754	0.0	20.0	62.779998779296875
h3k4me3	15000	28.875871658325195	25.899333953857422	0.0	22.625	68.18000030517578
