mark	chrom	n_reads	mean_A_burden	mean_C_burden	mean_read_length
h3k27ac	chr1	1144	0.0007004892002087568	0.11773574629497086	9639.907342657343
h3k27me3	chr1	2111	0.0023427099048941307	0.044362403735448884	8489.800094741828
h3k4me3	chr1	1794	0.001481545482737602	0.05278244586738531	8788.995540691192
