mark	metric	pearson	spearman	n
h3k27ac	frac_A_mod_pass	-0.014926186113613401	0.41210934173922614	1143
h3k27ac	frac_C_mod_pass	0.11473396760981908	0.31925238258124583	1143
h3k27me3	frac_A_mod_pass	-0.023985664411180985	0.3972105828415649	2111
h3k27me3	frac_C_mod_pass	0.08243123002431421	0.3119990792441572	2111
h3k4me3	frac_A_mod_pass	-0.024751857068335142	0.42884175364544663	1792
h3k4me3	frac_C_mod_pass	0.08131747552386964	0.35275468366997154	1792
