mark	n_reads	mapq_min	mapq_p50	mapq_p95	mapq_max	mapq_mean	read_len_p5	read_len_p50	read_len_p95	read_len_mean	a_density_p50	a_density_p95	a_density_mean	c_density_p50	c_density_p95	c_density_mean	a_zero_pct	c_zero_pct	corr_readlen_a_density	corr_readlen_c_density
h3k27ac	200000	40.0	40.0	40.0	40.0	40.0	387.0	3407.0	39506.0	9265.948295	0.32788229025779747	14.142049025769955	2.8919179250612315	17.402027952863797	149.33444259567386	38.546973930466585	40.7205	4.715	-0.03828920737500371	0.06488466679589429
h3k27me3	200000	40.0	40.0	40.0	40.0	40.0	342.0	2847.0	40054.0	8878.579885	0.36656891495601174	17.63584366062917	3.5401293956865247	10.192239769917755	66.90997566909975	18.71803562347474	41.578	7.539	-0.01239729747709461	0.05187229331588462
h3k4me3	200000	40.0	40.0	40.0	40.0	40.0	364.0	3145.0	38325.0	8874.568645	0.5638170413700754	17.660044150110377	3.610159687170495	13.029315960912053	78.61936720997123	22.484343746914682	36.2155	5.582	-0.031793241888524594	0.05243978835711051
