mark	variance_class	loci	target_variance_mean	target_variance_median	target_mean_mean	target_mean_median	fraction_locus_mismatch_mean	fraction_locus_mismatch_median	fraction_locus_deleted_mean	fraction_locus_deleted_median	fraction_insertion_near_locus_mean	fraction_insertion_near_locus_median	mean_local_mismatch_rate_mean	mean_local_mismatch_rate_median	mean_local_indel_bases_per_ref_base_mean	mean_local_indel_bases_per_ref_base_median	mean_mapq_mean	mean_mapq_median	mean_nm_mean	mean_nm_median	mean_softclip_fraction_mean	mean_softclip_fraction_median
5mC	high	3	0.26754340997047293	0.2667134602864583	0.4838778409090909	0.498046875	0.8002020202020202	0.8333333333333334	0.014492753623188406	0.0	0.20570048309178743	0.16666666666666666	0.6496238657473449	0.6892989930658416	0.0480311063980205	0.05024390243902439	56.98840579710145	57.56521739130435	3402.7619323671493	1300.7391304347825	0.0508651875711357	0.01314380843560555
5mC	low	3	0.0	0.0	0.333984375	0.001953125	0.758235294117647	0.76	0.02207977207977208	0.027777777777777776	0.08267806267806267	0.07692307692307693	0.5604439331691268	0.5303413891865556	0.034212354944062266	0.043151969981238276	40.97851851851852	59.05555555555556	1190.4401994301993	1352.8461538461538	0.0968802832322379	0.028650937966485265
6mA	high	3	0.2702623604925393	0.2698924170600043	0.5263553503787879	0.5419034090909091	0.6527777777777778	0.625	0.07145897950495651	0.037037037037037035	0.16593687283342454	0.1724137931034483	0.570811939554979	0.5728172109409954	0.05634801969256694	0.057190916736753576	58.857583774250436	59.535714285714285	1319.062382168704	1253.4814814814815	0.03991195988363481	0.05619624234985565
6mA	low	3	0.0	0.0	0.0	0.0	0.4157194060419867	0.23333333333333328	0.0588235294117647	0.058823529411764705	0.3137254901960784	0.47058823529411764	0.644476073369597	0.5958897701443734	0.09448864542121356	0.1398852223816356	59.673202614379086	59.6764705882353	1433.2121212121212	1419.5	0.04275809581657305	0.042432169704743006
