bin_size	model	experimental_sample	threshold_from_validation_pooled_top10	number_of_regions	number_of_bins	pearson	spearman	auroc	auprc	positive_fraction	auprc_enrichment
128	AlphaGenome	merged_c1	0.16258877840909086	60	27993	0.4553223218049992	0.30004368112853746	0.7951335723829994	0.48433613549388177	0.12481691851534313	3.8803724787865574
128	HyenaDNA	merged_c1	0.16258877840909086	60	27993	0.5632845479992913	0.41896258938593417	0.8032292148975719	0.4727977039634098	0.12481691851534313	3.7879296299506957
128	AlphaGenome	merged_e5b	0.16258877840909086	52	25154	0.45396750062696883	0.2926654242467204	0.7488147360478802	0.4913199232647751	0.15293790252047387	3.2125451910065386
128	HyenaDNA	merged_e5b	0.16258877840909086	52	25154	0.5576033483588836	0.4676745512419189	0.7906130815955085	0.4738984893116084	0.15293790252047387	3.0986333766946186
128	AlphaGenome	pooled	0.16258877840909086	60	31707	0.4766991917024255	0.3262693434574581	0.8086990972710706	0.5172030057360291	0.1227804585738165	4.212421192620671
128	HyenaDNA	pooled	0.16258877840909086	60	31707	0.5928830029044551	0.490644069223483	0.8230234083514407	0.4946433365742158	0.1227804585738165	4.028681292771298
256	AlphaGenome	merged_c1	0.15442682363084848	60	14020	0.5155023186216946	0.3331013842535168	0.8204000129866881	0.5401323048464187	0.12667617689015692	4.263882271366436
256	HyenaDNA	merged_c1	0.15442682363084848	60	14020	0.6099354642858237	0.44784632240297745	0.817254810960912	0.4997664919658584	0.12667617689015692	3.945228725991742
256	AlphaGenome	merged_e5b	0.15442682363084848	52	12598	0.5141070268405672	0.3217918690234479	0.7703410453381322	0.5522199036017734	0.1591522463883156	3.469758775847951
256	HyenaDNA	merged_e5b	0.15442682363084848	52	12598	0.6038374866676958	0.5074620074850101	0.8018557872288035	0.5078721358117899	0.1591522463883156	3.19110881144984
256	AlphaGenome	pooled	0.15442682363084848	60	15875	0.5364682890220156	0.3580037822039552	0.8308204407589844	0.5745903757962671	0.12541732283464566	4.581427531775862
256	HyenaDNA	pooled	0.15442682363084848	60	15875	0.6376975135251921	0.5253385120714499	0.8414579089046778	0.5319658134383595	0.12541732283464566	4.241565689770948
512	AlphaGenome	merged_c1	0.1498232964014159	60	7032	0.5810251448311751	0.3644867796940211	0.8456217266685837	0.588211071033271	0.128839590443686	4.565452816231746
512	HyenaDNA	merged_c1	0.1498232964014159	60	7032	0.63391465841148	0.4606520086116295	0.8326965944741013	0.5306585419789203	0.128839590443686	4.11875371655162
512	AlphaGenome	merged_e5b	0.1498232964014159	52	6320	0.5837456862453607	0.34820896142486213	0.7862415087580452	0.585723110614506	0.15886075949367087	3.6870219711988828
512	HyenaDNA	merged_e5b	0.1498232964014159	52	6320	0.6296869983867306	0.533568291615388	0.8150505577389464	0.5238130516169547	0.15886075949367087	3.297309249222265
512	AlphaGenome	pooled	0.1498232964014159	60	7959	0.6061065666540052	0.3874118875804751	0.8566422407098963	0.6126897297336412	0.12690036436738283	4.82811639500005
512	HyenaDNA	pooled	0.1498232964014159	60	7959	0.6601365734341574	0.5421026160938984	0.8525191316080809	0.5412454459351917	0.12690036436738283	4.265121291285338
1024	AlphaGenome	merged_c1	0.14805948493186008	60	3525	0.6375436064654415	0.39987235902969626	0.8706432559920979	0.6297261717855335	0.12822695035460993	4.911028220230101
1024	HyenaDNA	merged_c1	0.14805948493186008	60	3525	0.6344684185148479	0.4736668378791888	0.8522270762478799	0.5424742832646764	0.12822695035460993	4.2305793108583725
1024	AlphaGenome	merged_e5b	0.14805948493186008	52	3162	0.6337550548093751	0.38277852456273065	0.7901269867967371	0.6037567500161949	0.16350411132194814	3.692608981723807
1024	HyenaDNA	merged_e5b	0.14805948493186008	52	3162	0.6354832950056344	0.5511679642636627	0.8219215848303247	0.5248184208110508	0.16350411132194814	3.2098178851151693
1024	AlphaGenome	pooled	0.14805948493186008	60	3983	0.6635288529135698	0.42769267263217275	0.8802253485843121	0.651130283655647	0.12678885262365053	5.135548356040478
1024	HyenaDNA	pooled	0.14805948493186008	60	3983	0.668358600700808	0.5568826647793652	0.8715171459641654	0.5632617455297046	0.12678885262365053	4.442517886029333
2048	AlphaGenome	merged_c1	0.14408966614394816	60	1768	0.638802763665258	0.43724992804690743	0.8467987719943392	0.6076444470999726	0.1323529411764706	4.591091378088682
2048	HyenaDNA	merged_c1	0.14408966614394816	60	1768	0.605390537432518	0.48340288573109697	0.8231148107288915	0.5112817532979074	0.1323529411764706	3.863017691584189
2048	AlphaGenome	merged_e5b	0.14408966614394816	52	1589	0.6415226694736064	0.4266743524629871	0.8053991854034902	0.6350754832557315	0.1736941472624292	3.656286024975932
2048	HyenaDNA	merged_e5b	0.14408966614394816	52	1589	0.6303852203304133	0.5693146937880789	0.8073915251056878	0.548427443101347	0.1736941472624292	3.1574319097392762
2048	AlphaGenome	pooled	0.14408966614394816	60	1994	0.669717479009854	0.47178417801154215	0.876161345485958	0.6411144232410024	0.13139418254764293	4.879321221154805
2048	HyenaDNA	pooled	0.14408966614394816	60	1994	0.6535264972526879	0.5699385190267428	0.8589967914249952	0.5804546435836956	0.13139418254764293	4.41765862330492
