sample	c_quantile	n	mean	q25	median	q75
merged_e5b	1	15407	0.8551941514015198	0.3529205769300461	0.5777419209480286	0.9561701416969299
merged_e5b	2	8593	3.454913377761841	0.4630894362926483	0.7891338467597961	1.4971171617507935
merged_e5b	3	12000	1.657428503036499	0.4808866158127785	0.8056428730487823	1.4007009267807007
merged_e5b	4	11997	1.1194703578948975	0.48730769753456116	0.822685182094574	1.3458333015441895
merged_e5b	5	12002	1.1454648971557617	0.5028004497289658	0.8680451810359955	1.4400798082351685
merged_e5b	6	12001	1.274077296257019	0.5940335988998413	1.007168173789978	1.6370270252227783
merged_e5b	7	11853	1.314233422279358	0.6269491314888	1.0435185432434082	1.6954622268676758
merged_e5b	8	11989	1.2302273511886597	0.6083333492279053	1.0007634162902832	1.5824038982391357
merged_e5b	9	9542	1.418610692024231	0.7750895917415619	1.2180129289627075	1.8090949952602386
merged_e5b	10	14616	1.063231348991394	0.5276176482439041	0.8582935333251953	1.3685877323150635
