label	reads	raw_window_valid_positions	aggregated_read_positions	duplicate_overlap_observations_removed	positives	negatives	positive_fraction	auroc	auprc	auprc_enrichment	roc_operating_threshold	roc_operating_fpr	roc_operating_tpr	pr_operating_threshold	pr_operating_precision	pr_operating_recall	pr_operating_f1
chr16	1877	10193258	5869663	4323595	304405	5565258	0.05186072863126895	0.6926746183920662	0.12161727408301748	2.345074535063309	0.07756857573986053	0.40952800391284644	0.6826037680064387	0.11854460835456848	0.12590279244765945	0.2897718500024638	0.17553673648693693
chr11	1393	7387341	4390732	2996609	228292	4162440	0.051994063859966855	0.6939392172264147	0.1221275373005186	2.34887462594651	0.08276896178722382	0.39496184929992983	0.6676361852364515	0.1201610341668129	0.12804475684980635	0.29324286440173114	0.1782545196021392
chr17	1632	7227300	4058161	3169139	191409	3866752	0.047166438197005986	0.6749391045797752	0.10681701158788669	2.264682593621563	0.08262994885444641	0.4071414458439538	0.6487887194437043	0.12398567795753479	0.1176376132902679	0.2334738700897032	0.15644779588864616
chr19	1550	8214234	4493094	3721140	248171	4244923	0.05523387670055423	0.6844139112348788	0.12282462991603289	2.223719160288462	0.07832420617341995	0.39874527759396344	0.6553062203077716	0.11902062594890594	0.12670635489385204	0.29210504047612335	0.17674573965283305
