external_quantile_cutoff	external_raw_threshold	n_bins	n_high_external_bins	positive_fraction	dimelo_mean_high_external	dimelo_mean_other	dimelo_fold_enrichment_high_vs_other	hyena_mean_high_external	hyena_mean_other	dimelo_auroc_for_high_external	dimelo_auprc_for_high_external	hyena_auroc_for_high_external	hyena_auprc_for_high_external	alphagenome_auroc_for_high_external	alphagenome_auprc_for_high_external	external_self_auroc_sanity
0.8	0.9741063541173935	20376	4076	0.2000392618767177	0.171190012809852	0.0765756929822008	2.235565962813334	0.13672424078086567	0.08641677977164343	0.7768995601967525	0.594329968261086	0.7300764914477684	0.5205046766814108	0.9423220091271968	0.885864431032837	1.0
0.9	2.642053465545178	20376	2038	0.10001963093835885	0.22743347037745262	0.08084005208820924	2.8133760988833463	0.17378316893804904	0.08788916007224627	0.8834517517585764	0.5885846641332838	0.8414166446631677	0.55795523466474	0.996380419964828	0.9726221369299488	1.0
0.95	10.278205475807189	20376	1019	0.050009815469179424	0.2544394257292039	0.08713542971559493	2.920045572273869	0.2018721311362148	0.09093215963593498	0.9196783559038394	0.3896989929249524	0.8857038376543863	0.44904717322787463	0.996500620564495	0.9447576973401798	1.0
