sample	read_id	alpha_rounded	observations	mean_alpha	mean_6ma	std_6ma	positive_fraction	mixed_label_score
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	51.0	588	51.0	0.19847802402210885	0.32906354493470713	0.17346938775510204	1.6204069733407171
merged_e5b	7b439c16-393c-4068-ae4d-23e5e886525a	53.0	635	53.0	0.15362942913385827	0.31375162965920234	0.14488188976377953	1.5749958782758469
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	49.8	628	49.75	0.1764281449044586	0.3094484028819293	0.15127388535031847	1.549095372111137
merged_e5b	7b439c16-393c-4068-ae4d-23e5e886525a	55.5	427	55.5	0.195769906323185	0.3384589350413869	0.18969555035128804	1.5385547393223855
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	56.8	1013	56.75	0.14548563980750248	0.2718200586447735	0.11846001974333663	1.533500292566682
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	57.5	739	57.5	0.15232260656292287	0.2872322396523195	0.13531799729364005	1.4975946991710454
merged_e5b	afaf8e60-ae4e-4df6-b7a2-6c2d65644b9c	52.2	399	52.25	0.20872004229323307	0.33310167487308395	0.19799498746867167	1.4887440552528286
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	55.5	685	55.5	0.15520072992700729	0.2845433161898712	0.13138686131386862	1.4556971493271111
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	56.8	650	56.75	0.14134615384615384	0.28745670770429177	0.11846153846153847	1.4514456775526514
merged_e5b	a99b73fb-942a-4ac8-b0dc-76db281329e3	57.5	518	57.5	0.13785367398648649	0.3012106821489413	0.13706563706563707	1.4369869019263148
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	48.8	419	48.75	0.2027427655131265	0.3168596807269017	0.16706443914081145	1.4335752220016105
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	60.5	742	60.5	0.11374452493261455	0.2695835048793471	0.09973045822102426	1.4070006291568822
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	54.5	503	54.5	0.15508123136182903	0.2938923036176223	0.13717693836978131	1.391810822842621
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	58.5	702	58.5	0.14086705395299146	0.26978294240082296	0.1111111111111111	1.3886690780932063
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	59.2	668	59.25	0.12118146519461077	0.2720603465064097	0.11377245508982035	1.3831184113932466
merged_e5b	df167e28-b2f4-4ed7-a7a5-11c27e36e660	52.2	263	52.25	0.16851829847908745	0.3426147856494053	0.1634980988593156	1.3797329572432038
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	59.2	415	59.25	0.16635448042168674	0.3041994252294103	0.14216867469879518	1.3729996082329599
merged_e5b	947aefd5-b646-4ac9-8edc-39f2ca91c9fc	46.8	384	46.75	0.152557373046875	0.3096071759195923	0.14583333333333334	1.3705466551987582
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	52.2	590	52.25	0.11571106991525423	0.2780077766916208	0.11186440677966102	1.3701557811620124
merged_e5b	8cef2fec-805e-4f94-80f4-f57e6283b134	53.0	475	53.0	0.1457236842105263	0.2930695060591626	0.14105263157894737	1.3681825112472172
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	51.8	490	51.75	0.12265625	0.29062650638084825	0.11224489795918367	1.3673643138835196
merged_c1	f10ef223-7e04-4aff-b2f9-40543640d2cc	66.5	264	66.5	0.2718468868371212	0.33694011080782177	0.24621212121212122	1.3581686326381925
merged_e5b	5603fdb1-ee0d-44be-9400-e5e4ce9af69f	75.5	193	75.5	0.20468345207253885	0.3634706808402757	0.20725388601036268	1.3547486026635822
merged_e5b	7b439c16-393c-4068-ae4d-23e5e886525a	56.8	686	56.75	0.11567852587463556	0.2634729447429538	0.10641399416909621	1.3483947544430315
merged_e5b	cbe053e1-d00c-4e5e-93bb-ce1a51cfa6fa	72.5	188	72.5	0.20630402260638298	0.3636854957034682	0.19680851063829788	1.3466832035407985
merged_e5b	afaf8e60-ae4e-4df6-b7a2-6c2d65644b9c	53.0	225	53.0	0.21508680555555557	0.3463942279312678	0.19555555555555557	1.3415790760001762
merged_e5b	e4a2c9a6-5018-4f36-a642-7be32ba280df	57.5	487	57.5	0.12374069558521561	0.2841025613425962	0.11909650924024641	1.334619264767176
merged_e5b	cbe053e1-d00c-4e5e-93bb-ce1a51cfa6fa	66.0	233	66.0	0.17448196083690987	0.3402778043131358	0.18025751072961374	1.3294518174087533
merged_e5b	d620357c-fcaf-4a52-a244-e7485348c360	46.8	228	46.75	0.1982764528508772	0.34102182445617324	0.18421052631578946	1.3251525764278815
merged_e5b	1bd68070-db59-4868-9ecb-26bea18224da	68.5	154	68.5	0.2891385957792208	0.37603330730781354	0.24675324675324675	1.3246663207854428
