sample	number_of_reads	number_of_observations	pearson	spearman	auroc	auprc	positive_fraction
merged_c1	398	3388025	0.11288649669296229	-0.04182486711735401	0.5502600518792633	0.07567419919688101	0.04412659292655751
merged_e5b	352	3370804	0.10868377545712762	-0.06089531623999571	0.5425764757264676	0.07840399189890146	0.04797698115939105
pooled	750	6758829	0.11072783903990333	-0.05113329154717949	0.5463014515938316	0.07696533559543822	0.04604688178973015
